FreeCAD 0.17, Libs: 0.17RUnknown
         16482684 function calls (14940014 primitive calls) in 6.992 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      391    0.001    0.000    0.002    0.000 posixpath.py:336(normpath)
     3442    0.001    0.000    0.002    0.000 copy.py:267(_keep_alive)
        1    0.001    0.001    0.047    0.047 polytools.py:1(<module>)
        2    0.001    0.001    0.001    0.001 {method 'readlines' of 'file' objects}
      568    0.001    0.000    0.002    0.000 functools.py:17(update_wrapper)
      342    0.001    0.000    0.124    0.000 __init__.py:2182(_handle_ns)
     2091    0.001    0.000    0.001    0.000 {method 'format' of 'str' objects}
     6713    0.001    0.000    0.001    0.000 ATNDeserializer.py:429(readInt)
     7534    0.001    0.000    0.003    0.000 sre_parse.py:207(match)
     1676    0.001    0.000    0.002    0.000 __init__.py:23(find_module)
      187    0.001    0.000    0.006    0.000 abc.py:86(__new__)
        1    0.001    0.001    0.067    0.067 Defines.py:1(<module>)
        1    0.001    0.001    0.004    0.004 __init__.py:41(<module>)
  663/163    0.001    0.000    0.010    0.000 containers.py:49(__new__)
     3544    0.001    0.000    0.002    0.000 version.py:65(_compare)
     1225    0.001    0.000    0.002    0.000 permutations.py:1934(is_Identity)
      705    0.001    0.000    0.006    0.000 inspect.py:813(getargspec)
     9032    0.001    0.000    0.004    0.000 {all}
4668/4631    0.001    0.000    0.002    0.000 basic.py:121(__hash__)
        1    0.001    0.001    0.001    0.001 dbapi2.py:24(<module>)
        1    0.001    0.001    0.008    0.008 buffer.py:4(<module>)
        1    0.001    0.001    0.005    0.005 npyio.py:1(<module>)
     2566    0.001    0.000    0.002    0.000 basic.py:96(__new__)
      328    0.001    0.000    0.025    0.000 __init__.py:2017(_by_version)
      576    0.001    0.000    0.016    0.000 __init__.py:1325(safe_version)
        1    0.001    0.001    0.004    0.004 pretty.py:1(<module>)
        1    0.001    0.001    0.041    0.041 geometric.py:16(<module>)
        2    0.001    0.001    0.004    0.002 text.py:9(<module>)
      901    0.001    0.000    0.008    0.000 copy.py:66(copy)
        1    0.001    0.001    0.014    0.014 __init__.py:64(<module>)
        2    0.001    0.001    0.190    0.095 polyhedron.py:672(_pgroup_of_double)
5520/2668    0.001    0.000    0.009    0.000 containers.py:51(<genexpr>)
        1    0.001    0.001    0.002    0.002 case.py:1(<module>)
        1    0.001    0.001    0.004    0.004 __init__.py:75(<module>)
        4    0.001    0.000    0.002    0.001 ATNDeserializer.py:376(verifyATN)
        1    0.001    0.001    0.002    0.002 basic.py:7(<module>)
      328    0.001    0.000    0.003    0.000 __init__.py:685(add)
        1    0.001    0.001    0.006    0.006 __init__.py:110(<module>)
        1    0.001    0.001    0.001    0.001 vtkFiltersHybrid.py:1(<module>)
